station,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12
US1CATY0003,14.3,64.9,193.0,20.4,5.1,0.0,3.6,0.0,41.0,80.8,106.9,236.8
US1CATY0006,17.3,253.3,243.0,42.2,7.6,0.0,0.0,0.0,57.2,154.3,98.8,362.6
US1CATY0006,17.3,253.3,243.0,42.2,7.6,0.0,0.0,0.0,57.2,154.3,98.8,362.6
US1CATY0006,17.3,253.3,243.0,42.2,7.6,0.0,0.0,0.0,57.2,154.3,98.8,362.6
US1CATY0003,14.3,64.9,193.0,20.4,5.1,0.0,3.6,0.0,41.0,80.8,106.9,236.8
US1CATY0003,14.3,64.9,193.0,20.4,5.1,0.0,3.6,0.0,41.0,80.8,106.9,236.8
US1CATY0003,14.3,64.9,193.0,20.4,5.1,0.0,3.6,0.0,41.0,80.8,106.9,236.8
US1CATY0003,14.3,64.9,193.0,20.4,5.1,0.0,3.6,0.0,41.0,80.8,106.9,236.8
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
US1CAHM0026,72.5,289.5,407.5,72.6,43.7,4.3,1.7,0.3,98.9,291.6,172.7,505.5
US1CAHM0026,72.5,289.5,407.5,72.6,43.7,4.3,1.7,0.3,98.9,291.6,172.7,505.5
US1CAHM0026,72.5,289.5,407.5,72.6,43.7,4.3,1.7,0.3,98.9,291.6,172.7,505.5
USC00040738,31.9,144.7,148.5,28.6,8.6,1.6,7.9,0.0,47.0,124.7,87.2,217.3
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
USC00040738,31.9,144.7,148.5,28.6,8.6,1.6,7.9,0.0,47.0,124.7,87.2,217.3
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
USC00040738,31.9,144.7,148.5,28.6,8.6,1.6,7.9,0.0,47.0,124.7,87.2,217.3
USC00040738,31.9,144.7,148.5,28.6,8.6,1.6,7.9,0.0,47.0,124.7,87.2,217.3
USC00040738,31.9,144.7,148.5,28.6,8.6,1.6,7.9,0.0,47.0,124.7,87.2,217.3
US1CASK0003,3.1,37.9,22.4,20.0,14.6,5.6,0.5,1.5,5.9,20.7,25.4,123.0
US1CATY0005,34.0,141.8,172.8,20.6,16.9,3.3,0.3,0.0,47.8,127.8,102.3,223.4
USC00045449,5.6,134.1,70.7,7.4,6.4,0.0,2.0,1.3,76.3,52.2,15.7,355.4
USC00044838,6.4,27.2,32.7,124.0,34.1,1.5,12.4,20.9,19.0,20.0,4.1,114.3
USC00043402,0.0,124.2,1.3,16.8,14.5,0.0,0.0,0.0,0.0,0.0,30.7,200.1
US1CAHM0003,63.6,269.0,259.9,69.0,44.9,30.4,2.2,0.5,100.0,208.0,137.5,347.0
