station,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12
US1CAKN0013,11.8,0.3,8.9,2.1,3.3,0.0,22.7,2.5,0.0,3.3,5.3,12.0
USC00040503,0.0,0.0,33.0,0.0,7.4,0.0,4.1,0.0,10.2,0.0,20.8,11.0
USC00043463,44.8,38.9,9.9,15.2,5.6,0.0,0.3,18.0,3.8,15.8,29.5,28.4
USC00045151,0.0,3.1,18.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0
USC00045100,20.5,3.8,0.0,1.3,9.2,0.0,7.1,0.3,0.0,7.6,19.1,7.9
USC00044863,23.8,12.9,61.5,6.2,10.9,0.0,7.6,0.0,2.3,2.5,16.3,8.9
US1CAKN0005,54.9,17.3,0.3,4.6,9.2,0.0,1.0,0.0,24.1,0.8,14.2,0.3
US1CAKN0005,54.9,17.3,0.3,4.6,9.2,0.0,1.0,0.0,24.1,0.8,14.2,0.3
USC00043463,44.8,38.9,9.9,15.2,5.6,0.0,0.3,18.0,3.8,15.8,29.5,28.4
US1CALA0014,23.2,4.5,16.6,0.5,9.6,0.0,1.4,0.0,0.0,4.4,13.4,8.1
US1CALA0015,40.4,27.5,16.0,6.9,13.3,0.0,0.5,1.3,3.3,29.7,27.5,20.4
USC00046940,32.5,9.6,20.9,0.0,7.1,0.0,0.8,0.0,0.0,1.0,22.1,5.4
USC00049785,48.9,12.1,27.2,0.0,10.2,0.0,1.3,0.0,0.0,3.6,9.1,8.6
US1CALA0008,18.5,5.8,23.4,6.4,10.5,0.0,3.2,0.0,0.0,2.3,10.9,5.9
USC00046161,41.2,6.3,20.4,0.0,10.0,0.0,0.5,0.0,0.0,0.3,3.1,1.3
USC00046161,41.2,6.3,20.4,0.0,10.0,0.0,0.5,0.0,0.0,0.3,3.1,1.3
USC00047779,71.5,39.4,21.7,2.8,21.8,0.0,0.3,0.0,0.0,26.4,37.5,27.4
USC00046161,41.2,6.3,20.4,0.0,10.0,0.0,0.5,0.0,0.0,0.3,3.1,1.3
USC00046161,41.2,6.3,20.4,0.0,10.0,0.0,0.5,0.0,0.0,0.3,3.1,1.3
USC00046161,41.2,6.3,20.4,0.0,10.0,0.0,0.5,0.0,0.0,0.3,3.1,1.3
USC00047776,50.4,19.1,12.4,5.0,14.0,0.0,0.3,0.0,0.3,12.8,23.5,15.5
USC00046161,41.2,6.3,20.4,0.0,10.0,0.0,0.5,0.0,0.0,0.3,3.1,1.3
USC00046161,41.2,6.3,20.4,0.0,10.0,0.0,0.5,0.0,0.0,0.3,3.1,1.3
USW00003159,10.2,5.1,8.9,0.0,3.8,0.0,0.5,0.0,0.0,1.3,36.8,2.3
USC00048967,46.5,7.9,24.3,0.0,14.7,0.0,1.4,0.0,0.0,2.3,15.0,3.6
USC00047776,50.4,19.1,12.4,5.0,14.0,0.0,0.3,0.0,0.3,12.8,23.5,15.5
US1CALA0008,18.5,5.8,23.4,6.4,10.5,0.0,3.2,0.0,0.0,2.3,10.9,5.9
USC00045311,37.6,12.0,55.8,0.0,65.1,0.0,33.0,19.1,3.8,2.5,51.1,22.6
USC00043824,0.0,0.0,0.0,0.0,0.0,17.8,0.0,3.3,7.4,12.2,13.5,0.0
USW00093227,8.6,7.2,9.4,18.0,2.1,4.9,0.0,0.0,21.3,0.0,22.4,11.9
