,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,DURATION
130,TENAJA,2019-09-04,2019-09-14,Lightning,1939.536,12
248,SPRING,2020-08-17,2020-08-27,Lightning,228.8344,12
99,BAYBERRY,2022-07-08,2022-07-18,Arson,30.11021,12
285,COYOTE,2021-07-09,2021-07-19,Equipment Use,132.2827,12
125,46,2019-10-21,2019-10-31,Vehicle,329.3975,12
111,RED BANK,2019-09-05,2019-09-15,Lightning,8822.024,12
6,FORBESTOWN,2019-09-06,2019-09-16,Powerline,57.4474,12
354,EAST FORK,2021-07-01,2021-07-11,Lightning,1135.744,12
232,WILDCAT,2023-06-17,2023-06-27,Lightning,46.6567,12
193,MISSION,2017-09-03,2017-09-13,Powerline,988.4675,12
306,EMIGRANT,2021-09-17,2021-09-27,Equipment Use,221.0323,12
161,GRIZZLY,2017-07-21,2017-07-31,Vehicle,10.82112,12
176,CREWS,2020-07-05,2020-07-15,Playing with fire,5513.191,12
326,OLD WOMAN,2021-06-17,2021-06-27,Lightning,47.4764,12
287,BOWLER,2019-07-22,2019-08-01,Lightning,36.58765,12
227,PANTHER,2015-07-30,2015-08-09,Lightning,128.691,12
4,TASSAJARA,2015-09-19,2015-09-29,Arson,1075.519,12
238,TREE,2019-07-27,2019-08-06,Equipment Use,100.2009,12
225,HAPPY,2015-07-30,2015-08-08,Lightning,68095.24,11
188,CHORRO,2015-08-02,2015-08-11,Equipment Use,273.8199,11
265,BRADLEY,2019-05-08,2019-05-17,Debris,12.59625,11
110,HILL,2022-09-06,2022-09-15,Debris,13.28599,11
252,HOBO,2020-09-01,2020-09-10,Powerline,413.5251,11
175,DEER,2015-08-01,2015-08-10,Lightning,97.55208,11
247,GRANITE,2023-07-14,2023-07-23,Campfire,178.1577,11
583,INDIAN ROCK,2017-09-15,2017-09-24,Lightning,0.07936616,11
177,ETSEL,2015-07-30,2015-08-08,Lightning,32.09719,11
25,VINEYARD,2020-06-09,2020-06-18,Equipment Use,150.4945,11
17,RECHE,2023-07-14,2023-07-23,Arson,435.684,11
242,RANCH,2019-10-01,2019-10-10,Equipment Use,55.30642,11
598,SKIRBALL,2017-12-06,2017-12-15,Campfire,419.9208,11
15,RABBIT,2023-07-14,2023-07-23,Vehicle,8354.776,11
521,BEAR,2017-10-16,2017-10-25,Arson,317.201,11
