acq_date,frp,bright_ti5,bright_ti4,latitude,longitude
2023-01-13,1.8,281.49,297.5,33.85379,-118.33418
2023-01-13,0.44,276.53,299.65,34.15385,-118.19147
2023-01-13,0.47,272.03,295.15,34.24376,-118.38058
2023-01-13,0.96,269.46,309.13,34.33497,-118.51958
2023-01-14,0.74,279.15,305.02,34.15836,-114.25223
2023-01-16,7.93,282.72,344.77,35.10654,-119.35893
2023-01-16,2.59,278.88,332.85,35.61388,-119.31267
2023-01-17,0.68,277.7,301.84,37.18394,-121.67916
2023-01-17,0.95,278.27,303.45,37.88379,-121.18607
2023-01-17,0.97,283.25,297.87,37.95024,-122.39735
2023-01-17,0.54,276.76,302.53,38.00486,-121.93559
2023-01-17,1.6,279.0,297.92,38.01342,-122.11247
2023-01-17,1.38,284.32,303.48,38.07211,-122.14016
2023-01-17,0.36,275.41,295.52,38.3003,-122.74955
2023-01-17,0.87,274.78,301.34,38.55806,-122.55058
2023-01-17,1.01,271.03,298.61,39.61921,-119.26398
2023-01-17,1.13,271.11,299.58,39.62006,-119.26118
2023-01-17,7.67,273.85,329.26,40.17767,-123.44928
2023-01-17,1.19,277.6,303.59,33.79495,-117.47395
2023-01-17,1.53,276.29,305.9,34.153,-118.19209
2023-01-17,1.61,276.45,312.02,34.15312,-118.19275
2023-01-17,0.56,274.49,295.56,34.32047,-118.51109
2023-01-17,1.44,274.51,306.91,34.33408,-118.51927
2023-01-17,0.99,274.99,302.04,34.43005,-118.64234
2023-01-17,9.48,279.6,333.15,40.17838,-123.44906
2023-01-17,4.0,285.87,333.46,40.59516,-122.47891
2023-01-17,3.58,283.99,329.3,40.69138,-122.26086
2023-01-17,9.73,282.48,327.76,41.79154,-122.6557
2023-01-17,20.18,290.16,355.75,41.79197,-122.65165
2023-01-17,9.73,289.67,345.44,41.79218,-122.64996
2023-01-17,19.7,285.38,356.24,41.79568,-122.65279
2023-01-18,0.81,268.95,298.96,37.88328,-121.18568
2023-01-18,1.1,275.91,297.41,38.07135,-122.13825
2023-01-18,2.63,266.34,314.2,39.87796,-123.22736
2023-01-18,3.6,266.94,325.82,39.8797,-123.2266
2023-01-18,0.98,277.79,307.02,33.71456,-117.71092
