acq_date,frp,bright_ti5,bright_ti4,latitude,longitude
2013-01-09,1.23,270.66,304.16,34.09423,-117.52902
2013-01-09,1.23,271.44,311.66,34.09451,-117.53439
2013-01-09,2.12,271.25,313.65,34.09582,-117.5335
2013-01-09,1.25,260.18,295.58,40.82332,-114.25276
2013-01-10,1.09,271.95,297.03,39.61858,-119.2615
2013-01-10,0.53,272.94,295.78,37.75409,-121.65887
2013-01-10,0.59,275.55,297.12,37.94192,-122.39431
2013-01-10,0.8,275.38,298.39,37.94374,-122.39612
2013-01-10,0.83,275.31,306.41,38.00396,-121.93448
2013-01-10,0.77,279.31,300.32,38.01394,-122.11171
2013-01-10,1.35,279.1,299.99,38.07106,-122.13843
2013-01-10,4.92,278.73,333.57,36.02397,-119.32228
2013-01-10,7.12,283.48,340.85,36.66149,-120.37266
2013-01-10,6.32,284.92,342.43,36.68549,-119.45463
2013-01-10,3.49,283.6,336.9,36.81985,-120.0881
2013-01-10,7.59,283.76,333.66,36.82032,-120.08289
2013-01-10,7.46,284.07,339.37,36.87471,-120.06567
2013-01-10,9.57,283.55,343.31,36.87512,-120.064
2013-01-10,7.46,282.51,347.2,36.87516,-120.06046
2013-01-10,5.33,283.35,339.11,36.8756,-120.05878
2013-01-10,3.21,281.99,335.01,36.98032,-120.1773
2013-01-10,2.72,282.55,328.34,40.62154,-122.47924
2013-01-11,1.21,272.4,300.56,36.35831,-114.90852
2013-01-11,1.6,272.21,315.97,36.98221,-120.1786
2013-01-11,0.36,273.36,301.49,37.18442,-121.67755
2013-01-11,0.81,273.54,299.57,38.00272,-121.93446
2013-01-11,0.87,279.41,297.8,38.07241,-122.1381
2013-01-11,0.51,270.9,297.08,38.51525,-121.19369
2013-01-11,0.7,276.7,296.37,32.59678,-117.00962
2013-01-11,0.58,273.64,297.13,32.85741,-117.14893
2013-01-11,1.4,273.84,315.16,33.71538,-117.71062
2013-01-11,0.81,274.1,311.27,33.71706,-117.71182
2013-01-11,0.51,278.68,296.7,33.7749,-118.22764
2013-01-11,0.87,273.22,299.51,33.79348,-117.47442
2013-01-11,1.2,279.33,301.36,33.81597,-118.24157
2013-01-11,1.56,285.16,304.27,33.8533,-118.33288
2013-01-11,1.57,273.74,310.72,33.93153,-117.83881
2013-01-11,0.56,276.26,298.08,34.03465,-118.10348
2013-01-11,3.45,275.08,338.09,34.09484,-117.53098
2013-01-11,0.38,270.51,295.67,34.14255,-117.42913
2013-01-11,0.43,276.37,299.33,34.31395,-119.26608
2013-01-11,0.9,273.37,302.0,34.32383,-118.5277
2013-01-11,2.04,273.38,310.4,34.33645,-118.51987
2013-01-11,2.3,291.61,330.6,34.09433,-117.53474
2013-01-11,3.52,290.72,332.76,34.09494,-117.52932
2013-01-11,1.55,284.87,329.23,35.68751,-119.16151
2013-01-11,5.93,286.4,344.61,36.41459,-119.79356
2013-01-11,3.42,285.23,331.22,36.6256,-119.8556
2013-01-11,2.5,283.96,326.66,36.92137,-120.12337
2013-01-11,1.12,284.41,325.77,37.28261,-120.68566
2013-01-11,2.88,284.71,327.74,37.39848,-120.62667
2013-01-11,2.71,283.64,331.74,38.30765,-121.55849
2013-01-12,0.73,269.36,309.43,37.08009,-120.09044
2013-01-12,0.73,270.49,299.31,37.08395,-120.08977
2013-01-12,0.81,274.62,303.8,32.59881,-117.01314
2013-01-12,0.79,271.86,302.77,33.79352,-117.47475
2013-01-12,1.98,273.58,323.63,34.09441,-117.53079
2013-01-12,0.53,270.43,296.12,34.14299,-117.42774
2013-01-12,0.7,272.98,298.63,34.24344,-118.38
2013-01-12,0.74,271.87,300.61,34.32462,-118.52673
2013-01-12,0.58,271.04,295.39,34.3339,-118.51571
2013-01-12,1.71,271.46,311.79,34.3345,-118.52026
2013-01-12,3.42,268.34,326.39,34.40288,-116.95281
2013-01-12,1.38,275.77,318.78,32.5353,-116.88072
2013-01-12,2.22,292.73,330.5,32.82681,-115.53654
2013-01-12,13.49,300.34,367.0,32.8274,-115.53233
2013-01-12,2.9,291.72,330.86,34.0948,-117.52837
2013-01-12,4.97,285.57,329.03,36.87341,-120.06687
2013-01-12,4.97,284.54,339.33,36.87752,-120.06328
