station,lat,lon,elev,name
US1CAKN0005,34.8266,-118.9547,1531.0,CA FRAZIER PARK 0.6 WNW                        
US1CAKN0009,34.8353,-119.1631,1834.0,CA PINE MOUNTAIN CLUB 0.9 SSW                  
US1CAKN0010,34.85,-119.1333,1606.0,CA PINE MOUNTAIN CLUB 1.4 ENE                  
US1CAKN0013,35.7022,-118.1739,926.3,CA ONYX 2.8 ENE                                
US1CALA0001,34.1689,-118.2947,155.8,CA GLENDALE 2.4 WSW                            
US1CALA0002,33.9373,-117.9844,88.1,CA WHITTIER 3.6 ESE                            
US1CALA0003,33.7902,-118.3369,61.0,CA TORRANCE 2.8 SW                             
US1CALA0005,34.1874,-118.1245,403.3,CA ALTADENA 0.7 ESE                            
US1CALA0007,34.1805,-118.6497,272.5,CA WOODLAND HILLS 2.6 WNW                      
US1CALA0008,34.0786,-118.687,207.9,CA MONTE NIDO 0.2 SSW                          
US1CALA0009,34.1543,-118.42,194.5,CA SHERMAN OAKS 1.7 ENE                        
US1CALA0010,33.9862,-118.0664,52.1,CA WHITTIER 2.9 WNW                            
US1CALA0011,33.8192,-118.3771,35.7,CA REDONDO BEACH 2.6 S                         
US1CALA0012,34.2033,-118.568,234.1,CA WINNETKA 0.7 SSE                            
US1CALA0013,33.9506,-118.2089,32.9,CA SOUTH GATE 1.1 WNW                          
US1CALA0014,34.4268,-118.4275,492.9,CA CANYON COUNTRY 2.6 E                        
US1CALA0015,34.121,-117.7068,446.5,CA CLAREMONT 0.5 E                             
US1CALA0021,34.1617,-118.0285,198.7,CA ARCADIA 2.1 NNE                             
US1CALA0023,34.0232,-117.7965,285.0,CA DIAMOND BAR 1.9 NNE                         
US1CALA0029,33.8437,-118.2649,4.6,CA CARSON 0.7 NW                               
US1CALA0030,34.1712,-118.4353,205.7,CA LOS ANGELES 4.3 NNW                         
US1CALA0031,34.7184,-118.0659,721.2,CA LANCASTER 6.5 ENE                           
US1CALA0034,34.27,-118.2874,601.7,CA LA CRESCENTA-MONTROSE 3.9 NW                
US1CALA0035,33.7798,-118.3852,330.1,CA RANCHO PALOS VERDES 2.0 NW                  
US1CALA0036,34.1392,-118.1161,225.2,CA PASADENA 2.0 SE                             
US1CALA0038,33.7766,-118.1467,14.6,CA LONG BEACH 1.1 SE                           
US1CALA0039,33.7753,-118.3704,309.1,CA RANCHO PALOS VERDES 1.3 NNW                 
US1CALA0041,34.2793,-118.363,377.6,CA SAN FERNANDO 4.2 E                          
US1CALA0046,34.2406,-118.2611,570.6,CA LA CRESCENTA-MONTROSE 1.6 WNW               
US1CALK0003,39.1068,-122.909,438.0,CA LAKEPORT 4.5 N                              
US1CALK0004,39.0789,-122.9169,417.6,CA LAKEPORT 2.5 N                              
US1CALK0006,38.706,-122.6031,388.0,CA MIDDLETOWN 3.3 SSE                          
US1CALK0008,38.8652,-122.5636,483.1,CA LOWER LAKE 4.0 SE                           
US1CALK0009,39.1682,-122.9778,438.9,CA UPPER LAKE 3.6 W                            
US1CALS0001,40.3676,-120.6739,1326.8,CA SUSANVILLE 3.2 SSW                          
US1CALS0002,40.363,-120.674,1325.0,CA SUSANVILLE 3.5 SSW                          
US1CAMA0001,37.4415,-119.6316,1302.7,CA OAKHURST 7.5 N                              
US1CAMA0002,37.2717,-119.802,549.2,CA RAYMOND 6.8 NE                              
US1CAMA0003,37.1241,-119.761,487.1,CA YOSEMITE LAKES 4.7 S                        
US1CAMA0004,37.3996,-119.7381,865.6,CA AHWAHNEE 2.5 NNW                            
US1CAMD0001,39.2206,-123.3312,759.6,CA UKIAH 8.4 NW                                
US1CAMD0003,39.0062,-123.4084,323.4,CA BOONVILLE 2.2 WSW                           
US1CAMD0005,39.1054,-123.7062,44.8,CA ELK 1.8 NNE                                 
US1CAMD0007,39.1583,-123.2248,227.4,CA UKIAH 1.2 NW                                
US1CAMD0009,39.1413,-123.1994,183.2,CA UKIAH 0.6 ESE                               
US1CAMD0010,38.9844,-123.158,175.0,CA HOPLAND 2.4 WNW                             
US1CAMD0012,39.37,-123.45,570.9,CA WILLITS 6.0 WSW                             
US1CAMD0013,39.2721,-123.2266,246.9,CA REDWOOD VALLEY 1.3 WNW                      
US1CAMD0014,39.2723,-123.1785,278.0,CA REDWOOD VALLEY 1.5 ENE                      
US1CAMD0016,39.0833,-123.2191,210.6,CA UKIAH 4.3 S                                 
US1CAMD0017,39.6724,-123.4898,502.0,CA LAYTONVILLE 1.1 SW                          
US1CAMD0018,38.8828,-123.61,319.4,CA POINT ARENA 4.8 ESE                         
US1CAMD0019,39.6567,-123.7698,220.1,CA WESTPORT 1.6 NNE                            
US1CAMD0021,39.1878,-123.7096,193.9,CA ALBION 4.0 SE                               
US1CAMN0001,38.0337,-119.1697,2162.3,CA LEE VINING 5.9 NW                           
US1CAMP0001,37.5396,-119.9876,896.7,CA MARIPOSA 3.7 NNW                            
US1CAMP0002,37.4613,-119.7417,899.8,CA MARIPOSA 12.5 E                             
US1CAMP0003,37.6354,-120.3273,339.5,CA LA GRANGE 7.8 ESE                           
US1CAMP0004,37.4152,-120.0998,357.2,CA CATHEYS VALLEY 1.2 S                        
US1CAMP0006,37.4623,-119.7403,896.1,CA MARIPOSA 12.5 E                             
US1CAMR0002,38.005,-122.6354,133.8,CA WOODACRE 0.6 SW                             
US1CAMR0003,37.9971,-122.5805,112.8,CA SAN ANSELMO 1.2 NNW                         
US1CAMR0004,38.106,-122.6441,75.0,CA NOVATO 4.8 WNW                              
US1CAMR0005,37.9872,-122.5643,32.6,CA SAN ANSELMO 0.4 NE                          
US1CAMR0007,38.0652,-122.5465,17.4,CA IGNACIO 0.6 SW                              
US1CAMR0008,38.1021,-122.5799,7.0,CA NOVATO 1.4 WNW                              
US1CAMR0009,38.2475,-122.8119,36.3,CA PETALUMA 10.1 W                             
US1CAMR0010,38.2557,-122.9629,111.6,CA DILLON BEACH 0.3 NNE                        
US1CAMR0011,38.2507,-122.8829,39.0,CA TOMALES 1.3 ENE                             
US1CAMR0012,38.0268,-122.5473,21.9,CA SAN RAFAEL 3.9 NW                           
US1CAMR0013,37.8863,-122.544,63.7,CA MILL VALLEY 1.5 S                           
US1CAMR0015,38.0268,-122.5714,56.4,CA LUCAS VALLEY 0.7 SSW                        
US1CAMR0016,37.8593,-122.4974,48.5,CA SAUSALITO 0.3 WNW                           
US1CAMT0002,36.4757,-121.7285,109.4,CA CARMEL VALLEY VILLAGE 0.8 SSW               
US1CAMT0003,35.9808,-121.1174,360.0,CA LOCKWOOD 3.6 NW                             
US1CAMT0005,36.0249,-121.1745,336.5,CA KING CITY 13.2 S                            
US1CAMT0006,36.7764,-121.7284,5.5,CA CASTROVILLE 1.6 ENE                         
US1CAMT0007,36.5937,-121.8557,32.9,CA MONTEREY 1.5 ESE                            
US1CAMT0008,36.1872,-121.1461,113.1,CA KING CITY 2.0 SSW                           
US1CAMT0009,36.6022,-121.932,85.3,CA PACIFIC GROVE 1.5 SSW                       
US1CAMT0011,36.2242,-121.7627,251.2,CA BIG SUR 4.0 SE                              
US1CAMT0014,36.236,-121.7688,225.2,CA BIG SUR 3.2 SE                              
US1CAMT0017,36.85,-121.65,104.9,CA AROMAS 2.0 SSW                              
US1CAMT0019,36.4763,-121.7197,135.9,CA CARMEL VALLEY VILLAGE 0.7 SSE               
US1CAMT0020,36.777,-121.7269,5.2,CA CASTROVILLE 1.6 ENE                         
US1CAMT0021,36.6732,-121.7841,36.0,CA MARINA 0.8 SSE                              
US1CAMT0022,36.5218,-121.81,40.5,CA CARMEL VALLEY VILLAGE 5.4 WNW               
US1CAMT0023,36.398,-121.8685,335.3,CA BIG SUR 9.5 NNW                             
US1CAMT0025,36.6044,-121.6711,110.0,CA SALINAS 5.9 SSW                             
US1CAMT0027,36.3532,-121.8183,741.9,CA BIG SUR 7.2 NNW                             
US1CAMT0028,36.6312,-121.9253,16.2,CA PACIFIC GROVE 0.6 N                         
US1CAMT0029,36.5902,-121.9054,71.6,CA MONTEREY 1.5 WSW                            
US1CAMT0030,36.5858,-121.8861,50.0,CA MONTEREY 1.1 SSW                            
US1CAMT0031,36.0598,-121.1888,412.7,CA KING CITY 11.1 SSW                          
