Year,Fire Name,Alarm Date,Containment Date,Duration (Days),Cause,Acres,Area,Perimeter
2022,DONICA,2022-07-16,2022-07-18,2.0,Vehicle,129.1635,927202.07421875,8290.92466852768
2022,EDEN,2022-08-15,2022-08-15,0.0,Vehicle,58.31763,377637.9453125,4374.40493035568
2022,HURLETON,2022-08-09,2022-08-09,0.0,Unknown / Unidentified,6.635188,45155.359375,888.259253098585
2022,HESPERIA,2022-06-06,2022-06-09,3.0,Equipment Use,96.88597,576094.74609375,3879.87219734496
2022,BIGGS,2022-08-04,2022-08-04,0.0,Equipment Use,15.77412,107102.11328125,1596.77063393657
2022,PINECREST,2022-06-23,2022-06-23,0.0,Equipment Use,16.90405,114914.61328125,1387.75593320723
2022,OREGON,2022-06-13,2022-06-13,0.0,Arson,14.32328,97706.05078125,1653.99933976122
2022,FORK,2022-09-07,2022-09-13,6.0,Vehicle,818.4309,5231771.578125,19405.3032588764
2022,OAK,2022-07-22,2022-08-10,19.0,Unknown / Unidentified,18957.5,122238621.21875,119368.183111979
2022,ROMERO,2022-06-23,2022-06-24,1.0,Unknown / Unidentified,344.1595,2192217.84375,10630.910589009
2022,EDGEWOOD,2022-06-21,2022-06-22,1.0,Powerline,20.54839,132200.9921875,2399.99839115653
2022,AGUA,2022-07-18,2022-07-23,5.0,Vehicle,396.7744,2554645.453125,15351.4862492227
2022,CANYON,2022-09-04,2022-09-05,1.0,Unknown / Unidentified,17.09855,118595.98046875,1704.67996733998
2022,MCCOVEY,2022-08-29,2022-09-04,6.0,Unknown / Unidentified,28.42003,204958.15625,2548.34874043165
2022,RANCH,2022-08-29,2022-09-04,6.0,Unknown / Unidentified,26.31805,189830.93359375,2197.9424261488
2022,FORWARD,2022-09-09,2022-09-22,13.0,Vehicle,159.9855,1118952.5234375,6372.6832896771
2022,RAINBOW,2022-07-16,2022-07-23,7.0,Arson,66.32885,458162.72265625,4725.08316149068
2022,PIGEON,2022-09-26,2022-09-26,0.0,Miscellaneous,14.82357,94697.49609375,1702.78943665342
2022,BARRY,2022-09-06,2022-09-06,0.0,Miscellaneous,40.30602,263157.0546875,2493.86424396481
2022,FRANKLIN,2022-09-05,2022-09-05,0.0,Vehicle,50.12971,327300.6328125,4258.30312310426
2022,EVITA,2022-05-18,2022-05-18,0.0,Unknown / Unidentified,17.2802,117280.0078125,1511.59899176146
2022,NELSON,2022-09-10,2022-09-10,0.0,Unknown / Unidentified,33.07443,225256.796875,2644.58777021358
2022,PLEASANT,2022-10-23,2022-10-24,1.0,Vehicle,49.56956,318312.8359375,2329.83284292641
2022,NELDA,2022-06-06,2022-06-06,0.0,Unknown / Unidentified,28.99773,190812.3828125,2156.19923019553
2022,LATROBE,2022-05-31,2022-05-31,0.0,Equipment Use,26.74845,177734.03125,1948.66529906878
2022,GRANT,2022-07-14,2022-07-14,0.0,Arson,73.11472,484595.4921875,3724.18169504483
2022,ELECTRA,2022-07-04,2022-07-28,24.0,Unknown / Unidentified,4466.222,29423771.015625,46575.6940056728
2022,COAL,2022-08-07,2022-08-07,0.0,Arson,16.74895,110123.5234375,1747.65286131599
2022,SPLAWN,2022-10-19,2022-10-19,0.0,Unknown / Unidentified,7.118451,50963.953125,1493.93231244436
2022,SYLVANDALE,2022-10-20,2022-10-20,0.0,Unknown / Unidentified,21.17796,146996.171875,2062.32492718301
2022,VALE,2022-10-08,2022-10-08,0.0,Equipment Use,27.99138,190517.19140625,1766.29123922162
2022,NELSON,2022-10-05,2022-10-05,0.0,Equipment Use,60.11403,409988.5234375,2653.02710648333
2022,NOME,2022-07-05,2022-07-05,0.0,Miscellaneous,16.68011,114579.2890625,2118.48917415202
2022,OWENS,2022-05-20,2022-05-20,0.0,Miscellaneous,34.01559,227421.6796875,2672.05010346809
2022,BELL,2022-07-17,2022-07-19,2.0,Equipment Use,42.91696,295281.66796875,2944.75450839382
2022,WALKER,2022-09-01,2022-09-16,15.0,Vehicle,123.3361,836150.68359375,6584.83691485137
2022,MARMOT,2022-08-02,2022-08-08,6.0,Unknown / Unidentified,126.6029,791809.60546875,4416.46416157426
2022,HOUSE,2022-05-11,2022-05-15,4.0,Equipment Use,159.2148,1011659.8125,6335.68078635544
2022,LOPER,2022-05-15,2022-05-16,1.0,Unknown / Unidentified,36.92672,234613.734375,3184.06503216536
2022,POWER,2022-09-06,2022-09-06,0.0,Vehicle,133.7536,853166.16796875,3885.72185944604
2022,COBBLE,2022-04-26,2022-04-26,0.0,Equipment Use,20.61224,130226.64453125,1485.34097105496
2022,PEBBLE,2022-07-31,2022-08-03,3.0,Structure,54.41259,342989.64453125,3417.40105333091
2022,HOPE,2022-06-07,2022-06-09,2.0,Equipment Use,13.11081,82843.3046875,1834.85160301562
2022,TABLE,2022-07-01,2022-07-04,3.0,Unknown / Unidentified,51.97977,330505.68359375,4906.94287338767
2022,WALL,2022-11-07,2022-11-07,0.0,Equipment Use,13.76263,93533.23828125,1345.80384146814
2022,SCARFACE,2022-06-10,2022-06-12,2.0,Unknown / Unidentified,5.558662,40220.82421875,920.610755599839
2022,SHACKLEFORD,2022-07-30,2022-07-31,1.0,Lightning,30.94669,223937.03515625,2285.86875705963
2022,97,2022-09-27,2022-09-29,2.0,Unknown / Unidentified,30.08391,217193.13671875,3259.88098364302
2022,SLOUGH,2022-07-21,2022-07-21,0.0,Unknown / Unidentified,24.96124,180436.15625,2136.4152831077
2022,MOUNTAIN,2022-09-02,2022-10-02,30.0,Unknown / Unidentified,13440.71,96936212.1992188,172408.593727104
