Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2018,7/10/2018,7/10/2018,2,10.91887,Equipment Use
2018,7/19/2018,7/19/2018,7,32.67687,Arson
2018,6/24/2018,6/24/2018,7,3416.661,Arson
2018,6/26/2018,6/26/2018,11,357.3438,Powerline
2018,8/6/2018,8/10/2018,9,11.45533,Miscellaneous
2018,8/31/2018,9/7/2018,9,69.48309,Miscellaneous
2018,6/21/2018,6/22/2018,11,1312.841,Powerline
2018,7/29/2018,12/18/2018,14,327.5861,Unknown / Unidentified
2018,7/26/2018,7/27/2018,14,256.1456,Unknown / Unidentified
2018,7/9/2018,7/11/2018,14,121.8599,Unknown / Unidentified
2018,7/6/2018,7/20/2018,9,1343.208,Miscellaneous
2018,10/3/2018,11/28/2018,1,46.22608,Lightning
2018,6/18/2018,7/6/2018,9,12.80577,Miscellaneous
2018,7/31/2018,8/29/2018,1,308.7849,Lightning
2018,7/8/2018,9/2/2018,1,2942.354,Lightning
2018,7/12/2018,7/30/2018,9,6.804112,Miscellaneous
2018,7/30/2018,7/30/2018,9,4.401677,Miscellaneous
2018,4/24/2018,6/20/2018,5,244.0183,Debris
2018,9/4/2018,9/17/2018,9,1752.566,Miscellaneous
2018,8/9/2018,9/15/2018,9,40608.43,Miscellaneous
2018,8/9/2018,9/15/2018,9,5574.379,Miscellaneous
2018,7/31/2018,10/11/2018,9,939.2842,Miscellaneous
2018,6/1/2018,6/27/2018,7,113.0089,Arson
2018,9/11/2018,9/14/2018,10,12.19321,Vehicle
2018,9/9/2018,10/5/2018,9,138.7085,Miscellaneous
2018,11/2/2018,11/7/2018,4,14.01697,Campfire
2018,8/19/2018,11/7/2018,9,1013.329,Miscellaneous
2018,7/19/2018,8/1/2018,1,19.0031,Lightning
2018,6/23/2018,7/14/2018,2,62.01245,Equipment Use
2018,9/1/2018,10/16/2018,1,165.2615,Lightning
2018,5/21/2018,7/23/2018,1,97.18737,Lightning
2018,10/13/2018,12/17/2018,1,1270.737,Lightning
2018,10/4/2018,12/17/2018,1,4654.187,Lightning
2018,9/15/2018,10/1/2018,4,15.45422,Campfire
2018,8/18/2018,9/9/2018,9,367.6508,Miscellaneous
2018,10/17/2018,12/17/2018,1,19.13519,Lightning
2018,9/3/2018,10/17/2018,4,1119.772,Campfire
2018,7/6/2018,7/10/2018,2,505.3996,Equipment Use
2018,7/19/2018,8/3/2018,9,281.6225,Miscellaneous
2018,8/6/2018,10/17/2018,9,23025.4,Miscellaneous
2018,7/15/2018,8/5/2018,1,60.63672,Lightning
2018,7/14/2018,8/3/2018,1,52.75735,Lightning
2018,7/18/2018,7/31/2018,1,79.80875,Lightning
2018,8/15/2018,8/29/2018,1,39584.29,Lightning
2018,8/15/2018,8/29/2018,1,27.65091,Lightning
2018,9/2/2018,9/16/2018,1,19.30635,Lightning
2018,7/22/2018,9/11/2018,1,220.3255,Lightning
2018,4/26/2018,5/1/2018,5,20.24249,Debris
2018,7/24/2018,10/7/2018,1,87.34658,Lightning
2018,8/7/2018,10/7/2018,9,117.0756,Miscellaneous
2018,7/13/2018,11/28/2018,9,96831.23,Miscellaneous
2018,6/19/2018,11/28/2018,1,13461.37,Lightning
2018,10/2/2018,10/8/2018,1,30.34471,Lightning
2018,10/12/2018,10/15/2018,9,34.76906,Miscellaneous
2018,9/26/2018,10/15/2018,9,51.38762,Miscellaneous
2018,6/30/2018,7/20/2018,9,32.7047,Miscellaneous
2018,7/6/2018,7/20/2018,2,61.23165,Equipment Use
2018,7/18/2018,8/29/2018,1,20.04257,Lightning
2018,9/28/2018,11/30/2018,9,261.3726,Miscellaneous
2018,7/15/2018,11/2/2018,1,56.61373,Lightning
2018,3/31/2018,6/26/2018,2,23.98479,Equipment Use
2018,6/27/2018,7/2/2018,5,62.81454,Debris
2018,7/1/2018,10/5/2018,9,225.5981,Miscellaneous
2018,9/14/2018,9/17/2018,14,6972.252,Unknown / Unidentified
2018,8/28/2018,8/28/2018,14,1.613114,Unknown / Unidentified
2018,6/5/2018,6/18/2018,14,0.5954995,Unknown / Unidentified
2018,5/9/2018,5/10/2018,14,13.08842,Unknown / Unidentified
2018,10/19/2018,12/18/2018,1,38117.85,Lightning
2018,7/28/2018,8/3/2018,14,222.283,Unknown / Unidentified
2018,10/29/2018,10/30/2018,14,1.74101,Unknown / Unidentified
2018,8/30/2018,8/31/2018,14,11.84939,Unknown / Unidentified
2018,8/5/2018,8/6/2018,14,18701.9,Unknown / Unidentified
2018,6/27/2018,8/3/2018,14,0.4257005,Unknown / Unidentified
2018,7/22/2018,12/18/2018,14,4.837892,Unknown / Unidentified
2018,7/31/2018,8/29/2018,1,436.2319,Lightning
2018,6/14/2018,6/19/2018,10,645.414,Vehicle
2018,7/14/2018,8/6/2018,2,2097.884,Equipment Use
2018,8/5/2018,8/7/2018,10,16.19212,Vehicle
2018,8/30/2018,9/2/2018,14,11.73649,Unknown / Unidentified
2018,8/5/2018,8/6/2018,14,11.72882,Unknown / Unidentified
2018,7/29/2018,11/30/2018,1,2.772035,Lightning
2018,7/13/2018,8/21/2018,1,14.10365,Lightning
2018,7/9/2018,7/10/2018,10,1.354551,Vehicle
2018,3/27/2018,4/5/2018,18,258.4481,Escaped Prescribed Burn
2018,10/4/2018,12/4/2018,1,1777.595,Lightning
2018,1/29/2018,1/30/2018,14,2.600558,Unknown / Unidentified
2018,10/12/2018,11/28/2018,1,1.364149,Lightning
2018,10/13/2018,12/4/2018,1,87.07478,Lightning
2018,10/19/2018,10/20/2018,4,1.213685,Campfire
2018,9/4/2018,11/26/2018,1,358.2132,Lightning
2018,7/19/2018,9/6/2018,1,34.51646,Lightning
2018,9/8/2018,11/30/2018,1,54.72084,Lightning
2018,5/29/2018,5/30/2018,14,0.8739471,Unknown / Unidentified
2018,8/1/2018,9/6/2018,1,173.5151,Lightning
2018,7/9/2018,7/10/2018,11,108.6614,Powerline
2018,7/25/2018,7/26/2018,14,24.77533,Unknown / Unidentified
2018,6/23/2018,7/5/2018,9,15196.92,Miscellaneous
2018,5/24/2018,5/24/2018,11,87.86208,Powerline
2018,2/12/2018,2/12/2018,9,5.25598,Miscellaneous
2018,5/30/2018,5/30/2018,2,25.31846,Equipment Use
2018,6/13/2018,6/13/2018,14,12.95728,Unknown / Unidentified
2018,6/12/2018,6/12/2018,2,5.651355,Equipment Use
2018,6/13/2018,6/13/2018,2,59.22106,Equipment Use
2018,6/14/2018,6/14/2018,10,56.45403,Vehicle
2018,7/17/2018,7/17/2018,11,13.53527,Powerline
2018,7/17/2018,7/17/2018,10,0.781524,Vehicle
2018,7/12/2018,7/12/2018,11,3.662046,Powerline
2018,8/19/2018,8/19/2018,2,3.039,Equipment Use
2018,9/6/2018,9/6/2018,10,0.4142106,Vehicle
2018,9/16/2018,9/16/2018,11,51.21738,Powerline
2018,9/14/2018,9/14/2018,11,2.110911,Powerline
2018,10/19/2018,10/19/2018,10,58.5271,Vehicle
2018,11/16/2018,11/17/2018,14,81.15428,Unknown / Unidentified
2018,9/5/2018,9/6/2018,14,3676.683,Unknown / Unidentified
2018,7/23/2018,7/24/2018,14,111.3536,Unknown / Unidentified
2018,11/8/2018,11/20/2018,11,89551.38,Powerline
2018,7/6/2018,7/7/2018,14,120.3432,Unknown / Unidentified
2018,11/27/2018,11/27/2018,2,44.07315,Equipment Use
2018,10/30/2018,10/30/2018,11,1.895036,Powerline
2018,11/3/2018,11/9/2018,14,15.64786,Unknown / Unidentified
2018,9/6/2018,9/6/2018,10,0.9207027,Vehicle
